message,selected_messages,sentiment
cont when  told him that i love beans on toast so cute,cont told love beans toast cute,positive
why am i up so early,early,negative
 joined you on facebook,joined facebook,neutral
trying to find some friends and not having any luck,trying find friends luck,negative
 omgggggggggg cant belive it what had happened to it friend do you know where did you missed it thats not nice,omgggggggggg cant belive happened friend know missed thats nice,negative
gah i have the headache from hell reminds me what my lovely wife goes through all too often,gah headache hell reminds lovely wife goes often,neutral
just got skyfire httpgetskyfirecom  firts impressions it looks good but its a little too memory hungry for my ageing htc tytn,got skyfire httpgetskyfirecom firts impressions looks good little memory hungry ageing htc tytn,neutral
 aww im sorry your boys are sick   ill keep my fingers crossed for no tails lol stay well youself and get better boys,aww im sorry boys sick ill keep fingers crossed tails lol stay well youself get better boys,neutral
 swimming is a no go for me,swimming go,negative
the mall i once worked at has turned into a very depressing place,mall worked turned depressing place,negative
going to the movies with clancy,going movies clancy,neutral
im going to be doing the fafsa form today  i hope to help out in the ann arbor  detroit metro area with computers art and design,im going fafsa form today hope help ann arbor detroit metro area computers art design,neutral
all the food in my house has sugar ants in it,food house sugar ants,neutral
 your understanding would require taking paragraph  out of context but para could lead to opting out of every class,understanding would require taking paragraph context para could lead opting every class,neutral
has finally mastered the art to uploading a photo on said twitter you can no longer assume im a heffer,finally mastered art uploading photo said twitter longer assume im heffer,neutral
im so stupid its star wars day may the th be with you,im stupid star wars day may th,neutral
 i would be scratching ma head toooo,would scratching head toooo,neutral
just missing youhoping to talk to you soonim so happy youre mine again though  you have no idea,missing youhoping talk soonim happy youre mine though idea,positive
 here im staying up with you and youre not talking to me   hehe,im staying youre talking hehe,neutral
httptwitpiccomjcwm  yes my ubook lenovo t finally arrived,httptwitpiccomjcwm yes ubook lenovo finally arrived,positive
 ok  thank you,ok thank,positive
  want somebody to hold me alma tear tear,want somebody hold alma tear tear,negative
normal hours to give any interested twitter friends a glimpse into a topic near and dear to us,normal hours give interested twitter friends glimpse topic near dear us,neutral
brake time nothing for lunch tonite,brake time nothing lunch tonite,neutral
i dont like things getting confused seems to be happening alot lately,dont like things getting confused seems happening alot lately,negative
 livin large huh ive got the same hammockno tree to hang it from,livin large huh ive got hammockno tree hang,neutral
spring cleaning episode do i really have to,spring cleaning episode really,neutral
waiting for someones sms its been weeks and nearly a month  ,waiting someones sms weeks nearly month,neutral
happy mothers day to all,happy mothers day,positive
  i got it in math and ss only,got math ss,neutral
 ooooh thats very pretty jen im sure shell love it,ooooh thats pretty jen im sure shell love,positive
 hello,hello,neutral
 i cant be mean without you,cant mean without,negative
so tired work today,tired work today,negative
just had kfc,kfc,neutral
 threequarters through i believe will not finish tonight  i blame errands and a certain loud at a bookstore,threequarters believe finish tonight blame errands certain loud bookstore,neutral
bored tired got headache,bored tired got headache,negative
finishing washing dishes,finishing washing dishes,neutral
    i hope you all have a happy mothers day,hope happy mothers day,positive
so much to do this summer hopefully all comes in favor and nothing has to be cancelled  worked hard for it,much summer hopefully comes favor nothing cancelled worked hard,positive
in the words of liana corber moreover wiaih was a humbling experience i surprisingly had a decent night,words liana corber moreover wiaih humbling experience surprisingly decent night,positive
 let me guess  ran a few miles  respect dude i cant do it  maybe you should train me,let guess ran miles respect dude cant maybe train,positive
okay people my fones charged,okay people fones charged,neutral
httpbitlyjov  how genius he looks  good in bret lov him why cancelled concert in france i was ready men,httpbitlyjov genius looks good bret lov cancelled concert france ready men,positive
 evening  yorkshires warm but overcast hows nz dont tell me  dark lol,evening yorkshires warm overcast hows nz dont tell dark lol,neutral
is going to see the hannah montana movielolwhat a dork huh,going see hannah montana movielolwhat dork huh,neutral
 i havent heard anything negative yet as a former manager used to tell me if theyre quiet be happy,havent heard anything negative yet former manager used tell theyre quiet happy,positive
 im gonna havta temp stop fllwing u while ur talkin abt kobe bc i loveeeeeeee him  im taking it personal and i like lebron ,im gon na havta temp stop fllwing u ur talkin abt kobe bc loveeeeeeee im taking personal like lebron,positive
star trek did not disappoint   star,star trek disappoint star,positive
 thanks for sympathy it wasnt too bad until about an hour ago when i started thinking of the appointment tomorrow,thanks sympathy wasnt bad hour ago started thinking appointment tomorrow,positive
 i know d i finally got my component cables for the ps in the other day and instead of playing pfes i played oot,know finally got component cables ps day instead playing pfes played oot,positive
 good morning chairman of the board wwwyoutubecomwatchvivfmpyyucy its a living thing,good morning chairman board wwwyoutubecomwatchvivfmpyyucy living thing,positive
colds nearly gone yayness greys anatomy on tonight      double yay,colds nearly gone yayness greys anatomy tonight double yay,positive
i was the blue  lol httptwitpiccomzgz,blue lol httptwitpiccomzgz,neutral
wondering what on earth is this new tools for,wondering earth new tools,positive
wah my fav whattaburger location is closing on the st  good thing im moving    monfri wont be the same,wah fav whattaburger location closing st good thing im moving monfri wont,neutral
 silly wendy you know i dont speak french  just a few more hours to study before this ride begins,silly wendy know dont speak french hours study ride begins,neutral
happy mothers day to all of the mothers and motherstobe  my mom is getting a special gift from me today,happy mothers day mothers motherstobe mom getting special gift today,positive
rose city sirens were uber cool last night  wish i could have stayed longer,rose city sirens uber cool last night wish could stayed longer,positive
is starving  has a chem quiz due at noon,starving chem quiz due noon,negative
 a hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down,hungry fool ill probably never see krispy kreme enjoy closing,neutral
dad wants the computer so id best be off  taking my lapitytopity to a mac specialist tomorrow hopefully they make teh owwie go awayz,dad wants computer id best taking lapitytopity mac specialist tomorrow hopefully make teh owwie go awayz,positive
weebo is dying,weebo dying,negative
getting ready to go to brighton to find myself a new suit from greshamblake  sunday  me time,getting ready go brighton find new suit greshamblake sunday time,neutral
this chipotle line is out the door but i really want it,chipotle line door really want,neutral
great cover   httpblipfmjqo,great cover httpblipfmjqo,positive
 can u follow me please,u follow please,neutral
 im sure the mrs will follow when she gets comfortable on the new computer may be a while  hhrs,im sure mrs follow gets comfortable new computer may hhrs,neutral
hmm i should go make a time machine to go forward to  god im genius oh yeh i dont no how too  x,hmm go make time machine go forward god im genius oh yeh dont x,neutral
 lol ive just realised that ive been sending messages that were meant to be to you to a page that doesnt exist,lol ive realised ive sending messages meant page doesnt exist,neutral
 im on my way,im way,neutral
 it was blatently your fault for just shoving it in the bag when i said no  i felt that you had very much tricked me ,blatently fault shoving bag said felt much tricked,negative
  will have to try  our pei wei closed so i cant try there,try pei wei closed cant try,neutral
i likee you  a lott lott   think you really hot hot  good night,likee lott lott think really hot hot good night,positive
 made me want taco bell  you sara oh well now im going to go change into my jammies now,made want taco bell sara oh well im going go change jammies,neutral
 i dont think ill ever have one of those again,dont think ill ever one,neutral
bgt  piers shouldnt have buzzed when the little girls were singing,bgt piers shouldnt buzzed little girls singing,negative
sigh only  problem though i need to call stooopid lime aka cable and wireless and have them reconnect my interent  day without net  sads,sigh problem though need call stooopid lime aka cable wireless reconnect interent day without net sads,negative
rejecting all food substances,rejecting food substances,negative
decided that no matter how good my hair looks curly it doesnt justify the burn i get from the curler my hands covered  i suck at it,decided matter good hair looks curly doesnt justify burn get curler hands covered suck,neutral
may the th be with you happy star wars day twirps  rofl,may th happy star wars day twirps rofl,positive
 we cant wait to see you too pls come back to iowa it isnt the same at the theatre,cant wait see pls come back iowa isnt theatre,positive
 hey polka dots or black dress both very glam mobile twitters a bit  at the mo,hey polka dots black dress glam mobile twitters bit mo,neutral
i need food it took an hour to get to work this morning leaving me no time to get my morning coffee and bagel,need food took hour get work morning leaving time get morning coffee bagel,neutral
happy mothers dayyy,happy mothers dayyy,positive
 what whyyyy,whyyyy,neutral
 super but i caught a cold on the plane  not as far forward in line as id like but the extra sleep was dearly needed,super caught cold plane far forward line id like extra sleep dearly needed,neutral
on the phone w chantellie  ,phone w chantellie,neutral
_diva_dee teehee im glad to entertain ye,_diva_dee teehee im glad entertain ye,positive
is going to work an amazing charity event for big brothers big sisters i dont mind working if its for a good cause,going work amazing charity event big brothers big sisters dont mind working good cause,positive
har har swineflu is everywhere httptwitpiccomjbo  via ,har har swineflu everywhere httptwitpiccomjbo via,neutral
time to get to work im already starting the day off bad missed the up screening  this morning at the el capitan,time get work im already starting day bad missed screening morning el capitan,negative
 i think is the parent trap  high school musical,think parent trap high school musical,neutral
just woke upfeelin a lil better  ,woke upfeelin lil better,positive
  thanks,thanks,positive
starting to spoil my pug since her brother max passed away on tuesday we miss him,starting spoil pug since brother max passed away tuesday miss,negative
_ all over the place it was  boo dual voice challenge was too challenging,_ place boo dual voice challenge challenging,neutral
 prolly e i cant think of anything else and im unfortunately not a singtel customer,prolly e cant think anything else im unfortunately singtel customer,negative
my chemical romance official sodahead profile  httpwwwsodaheadcommychemicalromance,chemical romance official sodahead profile httpwwwsodaheadcommychemicalromance,neutral
miss th,miss th,neutral
wow such a crazy night of ever changing emotions i liked it tho,wow crazy night ever changing emotions liked tho,positive
morningi woke up to watch  on the today show you rocked it girl wish i could have been there so close but so far away,morningi woke watch today show rocked girl wish could close far away,neutral
which was so unlike the pos in oakland they hated me,unlike pos oakland hated,negative
_supernatural_ httptwitpiccomk  awwww poor boys cries so sad,_supernatural_ httptwitpiccomk awwww poor boys cries sad,negative
my boss called me anerexic,boss called anerexic,negative
 tataindicom is not as good as tatasky  airtel broadband is better,tataindicom good tatasky airtel broadband better,positive
is home whoott happy mothers day madre,home whoott happy mothers day madre,positive
has finally started his serious revision  has just completed an english bg mock,finally started serious revision completed english bg mock,neutral
 oh great  hope youll have a blast there ,oh great hope youll blast,positive
i feel like im on house arrest,feel like im house arrest,negative
i need some cheering up,need cheering,neutral
joan is such a legend i cant wait for apprentice finale im so addicted i think i need a rehab lol tweet later  xoxo,joan legend cant wait apprentice finale im addicted think need rehab lol tweet later xoxo,positive
i really miss my phone  i cant wait till my new one comes,really miss phone cant wait till new one comes,negative
  its a pleasure  will be wary of girlie marshmallows from now on lol  you might have saved my life lol ,pleasure wary girlie marshmallows lol might saved life lol,positive
dinnerbuffalo burger with provolone cheese melted on top with beefsteak tomatoes and spinach divine pic on facebook to come,dinnerbuffalo burger provolone cheese melted top beefsteak tomatoes spinach divine pic facebook come,neutral
 bummer bro sorry to hear that,bummer bro sorry hear,negative
how do i vote for mr twitter universe im a bit stuck,vote mr twitter universe im bit stuck,negative
got a little scare tonight couldnt fall back to sleep so i started working on my digital imaging project looking good,got little scare tonight couldnt fall back sleep started working digital imaging project looking good,neutral
sitting in bed thinking,sitting bed thinking,neutral
will be attending cics parents orientation tomorrowneed to wake up early,attending cics parents orientation tomorrowneed wake early,neutral
httptwitpiccomw  my  pacman pic,httptwitpiccomw pacman pic,neutral
 it was a crazy time nothing to be ashamed of that you were timid you were osocute in your bashfulness,crazy time nothing ashamed timid osocute bashfulness,neutral
 haha nice have fun doll hopefully ill see ya soon i miss ur face,haha nice fun doll hopefully ill see ya soon miss ur face,positive
 you are such a beautiful bride youre gonna love the married life it absolutely rocks congrats to you both,beautiful bride youre gon na love married life absolutely rocks congrats,positive
_doll yes i live in milwaukee and would love to attend a closing talk,_doll yes live milwaukee would love attend closing talk,positive
 thats good  keep it up guys would love to come down and visit sonetime,thats good keep guys would love come visit sonetime,positive
just met sarah kelly wow she is an amazing woman of god  and she gave me a free tshirt  gotta love free merch,met sarah kelly wow amazing woman god gave free tshirt got ta love free merch,positive
  what i said    ill have to think about it and try again,said ill think try,neutral
it should be not a wink ,wink,neutral
just got out of work,got work,neutral
 poor dear your fellow  mavens have been there  what gym do you belong to peac,poor dear fellow mavens gym belong peac,negative
ugh waiting for a visitors pass to get on post  taking forever,ugh waiting visitors pass get post taking forever,negative
carol vorderman cancelled her interivew with me so now i have no proof against all you nonbelievers,carol vorderman cancelled interivew proof nonbelievers,negative
 awe thanks,awe thanks,positive
 i really want a shish kebab going to have to settle for toast,really want shish kebab going settle toast,neutral
i feel funny hmmp better be an amazing  day why not  i love how i know sammy rovin got a text about this tweet ,feel funny hmmp better amazing day love know sammy rovin got text tweet,positive
its a calandercalendar collander bahaha that part was hilarious of course the whole thing was hilarious,calandercalendar collander bahaha part hilarious course whole thing hilarious,positive
 demi you were so pretty with youre bangs and everything you look too grown up in this picture  i liked your bangs,demi pretty youre bangs everything look grown picture liked bangs,positive
my computer is so slooowww this morning  i think its a sign that i should go home and play in my yard,computer slooowww morning think sign go home play yard,neutral
 lonestar pitchers at    if only i wasnt still recovering from last weekends bout of irresponsible gluten consumption,lonestar pitchers wasnt still recovering last weekends bout irresponsible gluten consumption,negative
my back is soooooo hurting,back soooooo hurting,negative
 take it mmm definitely,take mmm definitely,neutral
_beli haha yeah u did oh well theres always next yr  chin up princess hehe,_beli haha yeah u oh well theres always next yr chin princess hehe,neutral
 hi nick i really like the serie jonas  its awesome see you soon in the concert kisses  marta,hi nick really like serie jonas awesome see soon concert kisses marta,positive
got three grades so far math  b  acctb  a bio  a good times to be had sad about the math grade though,got three grades far math b acctb bio good times sad math grade though,neutral
 urm ouch that sucks you need crutches  what happened i hope you getfeel better soonest,urm ouch sucks need crutches happened hope getfeel better soonest,neutral
omg days till st state exam,omg days till st state exam,neutral
i am sick  but ians coming over so its all good ,sick ians coming good,neutral
 hugs hugs hugs im glad youre feeling better,hugs hugs hugs im glad youre feeling better,positive
rain rain rain wow i actually love the rain,rain rain rain wow actually love rain,positive
guinness got  new toys from mom and dads house  hooray for free stuff,guinness got new toys mom dads house hooray free stuff,positive
but he has an out of date script thats really bad so midway thru his pitch we catch it he gets all butthurt and storms out his loss,date script thats really bad midway thru pitch catch gets butthurt storms loss,negative
 hahaha that was funnyy,hahaha funnyy,positive
 yep they are open its sunday hours tho,yep open sunday hours tho,neutral
 lolwellhope you find someone to give you a massage  wish i could but im half a world away lol,lolwellhope find someone give massage wish could im half world away lol,positive
whopee tgif   that was more fun when i had a job,whopee tgif fun job,positive
 was it for the vmas i guess so also wanna go to london in june for demi lovato concert but no ones going with me,vmas guess also wan na go london june demi lovato concert ones going,negative
may the th be with me today as i round off the weekend with one more session  happy th yall from the fintster,may th today round weekend one session happy th yall fintster,positive
awwwwwwww man my baby dried up,awwwwwwww man baby dried,negative
_read perhaps it is all those background apps,_read perhaps background apps,neutral
god im suffering greatly having no hair  sitting in blazing sunshine  v v bad sunburn,god im suffering greatly hair sitting blazing sunshine v v bad sunburn,negative
 dope background,dope background,positive
_tanyya o  awww leave off shes ace shes one of my fav actresses,_tanyya awww leave shes ace shes one fav actresses,neutral
_micster  how the hell does your hair not fall out constantly,_micster hell hair fall constantly,negative
chatted with my old schoolmates awww  i miss my highschool,chatted old schoolmates awww miss highschool,negative
 rentaphone  yesy have,rentaphone yesy,neutral
applying for part time jobs  lmao hopefully someone needs some help ap,applying part time jobs lmao hopefully someone needs help ap,positive
roommate is sssnoring  and my throat is so dry,roommate sssnoring throat dry,negative
sick on wifes bday double,sick wifes bday double,negative
 what if we are in england  x,england x,neutral
 unfort i cant dm you bc ur not following me,unfort cant dm bc ur following,neutral
working late at night on a dell notebook dells quality has gone down hill warrenty service sucks too poor people  buy a mac instead,working late night dell notebook dells quality gone hill warrenty service sucks poor people buy mac instead,negative
i want candy,want candy,neutral
varsity fanclub will never be the same,varsity fanclub never,neutral
_ hahaaaha,_ hahaaaha,neutral
bout to take a shower a cold shower,bout take shower cold shower,neutral
just watched marley  me cute movie going to watch twilight soon  love it,watched marley cute movie going watch twilight soon love,positive
 sorry for running over uncle terry but he just wasnt living up to his potential expecting more from his next return,sorry running uncle terry wasnt living potential expecting next return,negative
dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code,dammit hulu desktop totally screwed ability talk particular port one dev servers cant watch code,negative
flypside  when it was goodi must creat my presentation in english  by guys ,flypside goodi must creat presentation english guys,positive
work work work,work work work,neutral
  requested the date  and he is the guest of honour after all,requested date guest honour,neutral
writersthey just make me wonderwhy are you foisting all the little pipe dreams stories in your head onto other people i like writing,writersthey make wonderwhy foisting little pipe dreams stories head onto people like writing,neutral
 im sowwy   it sucks i know ive been there yay for half days though,im sowwy sucks know ive yay half days though,negative
 miss you,miss,negative
 gables apartments has corporate and their nice,gables apartments corporate nice,positive
finally reunited with my hunny bunny_ i have him for a few days b he leaves me again for another week away  work  night,finally reunited hunny bunny_ days b leaves another week away work night,positive
sometimes twitter makes me feel like an outsider,sometimes twitter makes feel like outsider,negative
 hey wahts happening in coffeclub i didnt have coffee for two days now  ,hey wahts happening coffeclub didnt coffee two days,neutral
nature has just called me  brb,nature called brb,neutral
hallelujah ive finally finished my careers assignment the feeling of finishing a task is great you have no idea or maybe you do lol,hallelujah ive finally finished careers assignment feeling finishing task great idea maybe lol,positive
 think wearing bermudas at the cinema wasnt a good idea after all but outside was humid like cwazy,think wearing bermudas cinema wasnt good idea outside humid like cwazy,negative
new on twitter,new twitter,neutral
i love mindy she is my favorite employee,love mindy favorite employee,positive
is sad she is going to miss the dream team party but i didnt rsvp in time,sad going miss dream team party didnt rsvp time,negative
_christie keep the faith itll be over soon,_christie keep faith itll soon,neutral
headed home dad duty tonight might take the kids to the course again although my boys took me for  last night in a chipping contest,headed home dad duty tonight might take kids course although boys took last night chipping contest,neutral
leaving sf soon i just might cry,leaving sf soon might cry,neutral
man with a great sense of humour venky pachad,man great sense humour venky pachad,positive
 oh sorry to hear about this too  sad,oh sorry hear sad,negative
happy to have a sunday off from work,happy sunday work,positive
aww bless her  give her a chance ,aww bless give chance,positive
 is it in crowntown i think i may just meet you there let me get ready and ill let you know,crowntown think may meet let get ready ill let know,neutral
i is goin to bed now,goin bed,neutral
 im not goin have a way out there til bdix gets off  but we swimming tomorrow ,im goin way til bdix gets swimming tomorrow,neutral
 thank god you didnt go  until after you had me,thank god didnt go,neutral
this is california it has to be sunny but its not  makes me kinda sad,california sunny makes kinda sad,negative
my new picture wont upload,new picture wont upload,negative
she had a boyfriend,boyfriend,neutral
ans so the lionkicked the dogs ,ans lionkicked dogs,negative
walking by the water in annapolis with froyo and no shoes,walking water annapolis froyo shoes,neutral
 in about two hours im setting out on a mile drive home mostly im hoping it goes quickly,two hours im setting mile drive home mostly im hoping goes quickly,positive
_phelps hello michael  have a nice day,_phelps hello michael nice day,positive
its friday and i dont have a job for the weekend,friday dont job weekend,neutral
 love it,love,positive
i got overexcited about pizza and burned my mouth,got overexcited pizza burned mouth,negative
 thank you we had a blast,thank blast,positive
why dont we close the library due to the great weather  and the ac isnt working  fb,dont close library due great weather ac isnt working fb,positive
_obsession lol but its only gonna be   the water will prob be cold as heck,_obsession lol gon na water prob cold heck,negative
as we were disembarking  tswassen we saw a pod of killer whales  id just finished pointing out that id never seen bc killer whales,disembarking tswassen saw pod killer whales id finished pointing id never seen bc killer whales,neutral
 too easy happy mothers day to a great mom,easy happy mothers day great mom,positive
at tgi fridays  with some of my favorite people ever we made a reservation for  and we have like  people here hahah,tgi fridays favorite people ever made reservation like people hahah,positive
  i love your tweets your sweet,love tweets sweet,positive
i smell cake but i dont see any cake on the oven,smell cake dont see cake oven,neutral
i am the queen of losing things important things like keycards and bus passes,queen losing things important things like keycards bus passes,neutral
greg nooooo don leave me  u shud have gone throooooooooooooo im gonna find u restaurant dont worry lol  cry cry cry,greg nooooo leave u shud gone throooooooooooooo im gon na find u restaurant dont worry lol cry cry cry,negative
going to be a strange weekend probably srtarting off with working til midnight tonight,going strange weekend probably srtarting working til midnight tonight,negative
why do you hurt me does it bring you joy to see me cry you know i love you more then anything and yet u break my heart everyday,hurt bring joy see cry know love anything yet u break heart everyday,positive
 a  year old zebra with wind lol,year old zebra wind lol,neutral
stupid playstation stupid controllers dont work so i cant play kingdom hearts,stupid playstation stupid controllers dont work cant play kingdom hearts,negative
_juliamarie people just dont appreciate nature its sad did the lil dude survive,_juliamarie people dont appreciate nature sad lil dude survive,negative
 ugly what programmes do you have open,ugly programmes open,negative
 that would panic me a little  maybe you can read on an orbitron at the gym like i dowhen all else fails,would panic little maybe read orbitron gym like dowhen else fails,negative
 you called me didnt get that  nest time for sure maybe ill come to la soon i hella wana go to disneyland,called didnt get nest time sure maybe ill come la soon hella wana go disneyland,neutral
so much to do by  pm i dont think im going to get it all done,much pm dont think im going get done,negative
 i love how alex pardee colours his picturs so differnt,love alex pardee colours picturs differnt,positive
gooooood morning,gooooood morning,positive
goodnight all in the twitterverse,goodnight twitterverse,positive
 awwwwweeee nick,awwwwweeee nick,neutral
at hospital uncle is in surgury after heart attack,hospital uncle surgury heart attack,negative
 i see i guess there must be lots of hawks fans in texas on twitter,see guess must lots hawks fans texas twitter,neutral
 thats okur a good person  my idol soo good people deserve sum good commentshows the weather ova der london is cold,thats okur good person idol soo good people deserve sum good commentshows weather ova der london cold,positive
eating maccies,eating maccies,neutral
constantly looking at the clockkkcome on pm,constantly looking clockkkcome pm,neutral
 yup  sad eh  betty man  it should have been betty,yup sad eh betty man betty,negative
 well yeah but my mom doesnt wanna drive all the way to sac if we were that far away,well yeah mom doesnt wan na drive way sac far away,neutral
and im back from a sooper dooper extra bharia extra dhumchik two day stay at moms place yay  its a fun fun feelin,im back sooper dooper extra bharia extra dhumchik two day stay moms place yay fun fun feelin,positive
 havent worked there for a long time but kinda miss it i miss anna  seen her ill prob be in slo most of the summer you,havent worked long time kinda miss miss anna seen ill prob slo summer,negative
 im going to jordan  jeffs wedding next weekend in atl,im going jordan jeffs wedding next weekend atl,neutral
 ew tongue kiss,ew tongue kiss,neutral
beautiful day on ocracoke just hope the thunderstorms stay away this afternoonits not looking good,beautiful day ocracoke hope thunderstorms stay away afternoonits looking good,negative
it gets worse every year and  will be the worst oh and  months today,gets worse every year worst oh months today,negative
walmart opening its first store in amritsar tomorrow of all placesthe horrorhoping its limited to wholesale,walmart opening first store amritsar tomorrow placesthe horrorhoping limited wholesale,positive
yay dad agreed to pay for my tuition and equipment yipee not till nxt jan tho,yay dad agreed pay tuition equipment yipee till nxt jan tho,positive
i bet black planet lol i didnt have a problem with it but she was ugly,bet black planet lol didnt problem ugly,neutral
has just booked her appointment to give blood pm nd june scared,booked appointment give blood pm nd june scared,negative
i want to see goaudio someone take me please  daysl,want see goaudio someone take please daysl,neutral
just chillin im a bit bored boohoo  ,chillin im bit bored boohoo,neutral
i miss you,miss,negative
everyone keep checking demistylesourcecomnew update coming soon,everyone keep checking demistylesourcecomnew update coming soon,neutral
its sad that the rats are becoming aggressive against the guinea pigs i have to seperate them,sad rats becoming aggressive guinea pigs seperate,negative
great to be sunbathing in my garden  and this afternoon ill be watching ado to see if they can win this important match on tv,great sunbathing garden afternoon ill watching ado see win important match tv,positive
daddy just leftwithout me  httpyfrogcompdrmj,daddy leftwithout httpyfrogcompdrmj,negative
 httptwitpiccomjjlc  i love it if its pouring rain i still want to go,httptwitpiccomjjlc love pouring rain still want go,positive
chillin after a loooonnnggg day of basketball  hella tired sleepy time zzzz,chillin loooonnnggg day basketball hella tired sleepy time zzzz,negative
 ill try sort that fabric out for you todaybeen a busy bee,ill try sort fabric todaybeen busy bee,neutral
im really happyand drunk  but really happy,im really happyand drunk really happy,positive
just got to kansas city and excited for a fun weekend with my family my sis parker and josh,got kansas city excited fun weekend family sis parker josh,positive
tom graduated today,tom graduated today,neutral
just got back home bored now,got back home bored,neutral
 hmm sorry i went mia there,hmm sorry went mia,negative
why the hell is youtube not working  no no  no no   no  no no nno no,hell youtube working nno,negative
words to live by   httpblipfmzij,words live httpblipfmzij,neutral
   well i couldnt get a real clear shot but ive got the best i couldsilly people walking through the admitting of the er,well couldnt get real clear shot ive got best couldsilly people walking admitting er,positive
 dw you never will  ,dw never,neutral
 i didnt get the joke,didnt get joke,negative
 yeah about  time my film slr just sits there quietly being ignored its time to step up,yeah time film slr sits quietly ignored time step,negative
 wheres the love,wheres love,neutral
 theyre getting back together for one more album or so i heard,theyre getting back together one album heard,neutral
_normal shucks  sorry  sometimes i get wrapped up in fb and forget to check  how you doin,_normal shucks sorry sometimes get wrapped fb forget check doin,negative
i missed the  announcement   something about being flow out for a concert can anyone fill me in,missed announcement something flow concert anyone fill,neutral
happy mamas day to all the mamas,happy mamas day mamas,positive
_design allright looking forward to it,_design allright looking forward,positive
_erica hugs those are the worst mine used to be really bad on the first daysometimes cant even get out of bed,_erica hugs worst mine used really bad first daysometimes cant even get bed,negative
 yes the new one i adore both though  who doesnt love vincent,yes new one adore though doesnt love vincent,neutral
 sorry love had no left overs  but come through sat  mi casa for tons birthday well have tons of food,sorry love left overs come sat mi casa tons birthday well tons food,negative
had so much fun with j and family  happy bday my beautiful aunt s,much fun j family happy bday beautiful aunt,positive
 ohhh he is very regal mancat but he is blocked,ohhh regal mancat blocked,negative
 ouch,ouch,neutral
tgif its a gorgeous day in reno today and im stuck inside,tgif gorgeous day reno today im stuck inside,neutral
 not having your lights on concerns me lol stay safe,lights concerns lol stay safe,neutral
leave for calcuttadelhilucknow tomorrow days of absence,leave calcuttadelhilucknow tomorrow days absence,neutral
 a hike in the woods with four little kids couldnt be that exhausting right wrong  lol try downright masochistic,hike woods four little kids couldnt exhausting right wrong lol try downright masochistic,neutral
 i love you too baby  see im cool now,love baby see im cool,positive
 its really gutwrenching  so sad,really gutwrenching sad,negative
 im a jump off a bridge not really but i want to vote  tell them to fix it just  more days you need to win,im jump bridge really want vote tell fix days need win,positive
this week has been awful,week awful,negative
deleted a lott of facebook friends ask to be my friend again if you want if not idgaf,deleted lott facebook friends ask friend want idgaf,negative
 lol yeah  i forgot about your tweetdeck statuses so funny,lol yeah forgot tweetdeck statuses funny,positive
today is a sad day for tucson httptrimmq i shall miss the sour cream apple pie fondue and separate seating for groups with dogs,today sad day tucson httptrimmq shall miss sour cream apple pie fondue separate seating groups dogs,negative
 hey its that old writing avoidance  write  continuous flow non stop   minstrick i use  loosen up gremlins,hey old writing avoidance write continuous flow non stop minstrick use loosen gremlins,neutral
 not that funny i wont jump,funny wont jump,negative
 sounds like a great idea  wish i could make it,sounds like great idea wish could make,positive
  yes you are addicted  half my twitter friend updates are yours,yes addicted half twitter friend updates,neutral
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying it takes all sorts of people ,ive spent lazy day today finding interesting people follow reinforced saying takes sorts people,neutral
 it would be so fun  too much to do  not enough time or money,would fun much enough time money,neutral
 aw  were sad you had to leave tokyo come backplease,aw sad leave tokyo come backplease,negative
stupid hand have a and flop nut low and top pair but guy had also out low and out flush quartered  at ,stupid hand flop nut low top pair guy also low flush quartered,negative
awe gotta go my mom commands me to sleep already,awe got ta go mom commands sleep already,negative
 clay aiken get me an autograph,clay aiken get autograph,neutral
 morning chip  loved the new html format on your ezine,morning chip loved new html format ezine,positive
  for reals wtf,reals wtf,negative
 welcome back to school dont study too hard take time off and smell roses too,welcome back school dont study hard take time smell roses,neutral
long todo list little desire to do it all,long todo list little desire,negative
off to bed  nighty night everyone,bed nighty night everyone,neutral
done with the packing and everything else  leaving in  hours ,done packing everything else leaving hours,neutral
_bandoni ok see you at da climbing,_bandoni ok see da climbing,neutral
at workyy trying to get on point with all that i have to do  smile linman tonight,workyy trying get point smile linman tonight,neutral
i think today i shall listen to some gary numan before starting some remixes,think today shall listen gary numan starting remixes,neutral
 well i will send out an email and you all can pick your fave cake and ice cream flavor  and the cup part is belgian chocolate,well send email pick fave cake ice cream flavor cup part belgian chocolate,neutral
 i know its awful  but never fear ive got loads of funds so we can have a drunken catch up postexams ja,know awful never fear ive got loads funds drunken catch postexams ja,neutral
finish some sketches und then go out an skate yeeeehaaa got a new deck,finish sketches und go skate yeeeehaaa got new deck,neutral
download backseat goodbyes latest album for free  httpfreecdbackseatgoodbyecom,download backseat goodbyes latest album free httpfreecdbackseatgoodbyecom,neutral
 i take it youre not a fan,take youre fan,negative
i have no followers,followers,neutral
 wow you are sharing some of my long list,wow sharing long list,neutral
hubby needs a vacation  thank god were leaving for myrtle beach in a week,hubby needs vacation thank god leaving myrtle beach week,positive
i just watched my favorite movie a walk to remember its so romantic and sad i just love it,watched favorite movie walk remember romantic sad love,neutral
